ID,username,password,email,name,usertype,,books_ID,
eaa09796-1414-11ef-ba4f-325096b39f47,admin,Initial,user1@example.com,John Doe,Admin,,189805e8-1ddf-11ef-ba51-325096b39f47,
eaa0998a-1414-11ef-832e-325096b39f47,user1,password123,user2@example.com,Jane Smith,user,,18980854-1ddf-11ef-a102-325096b39f47,
eaa099f8-1414-11ef-bebd-325096b39f47,user3,pass321,user3@example.com,Michael Johnson,user,,189808c2-1ddf-11ef-a45f-325096b39f47,
eaa09a48-1414-11ef-918a-325096b39f47,user4,hello789,user4@example.com,Emily Brown,user,,1898091c-1ddf-11ef-a85d-325096b39f47,
eaa09a98-1414-11ef-aa80-325096b39f47,user5,test123,user5@example.com,David Wilson,user,,1898096c-1ddf-11ef-8198-325096b39f47,
eaa09ad4-1414-11ef-8ea5-325096b39f47,user6,test123,user6@example.com,Sarah Davis,user,,189809bc-1ddf-11ef-a1a0-325096b39f47,
eaa09b1a-1414-11ef-a056-325096b39f47,user7,password321,user7@example.com,Chris Taylor,Admin,,,
eaa09b60-1414-11ef-b7bd-325096b39f47,user8,abc123,user8@example.com,Lisa Jones,user,,18980a48-1ddf-11ef-81f6-325096b39f47,
eaa09b9c-1414-11ef-b1d6-325096b39f47,user9,adminpass,user9@example.com,Matthew Martinez,user,,18980ad4-1ddf-11ef-b601-325096b39f47,
eaa09be2-1414-11ef-ba34-325096b39f47,user10,letmein,user10@example.com,Amanda Anderson,user,,18980b24-1ddf-11ef-babd-325096b39f47,
eaa09c1e-1414-11ef-8f60-325096b39f47,user11,passwordabc,user11@example.com,Brian Thompson,user,,18980b6a-1ddf-11ef-b1f1-325096b39f47,
eaa09c64-1414-11ef-b41b-325096b39f47,user12,securepassword,user12@example.com,Michelle White,user,,18980bb0-1ddf-11ef-956d-325096b39f47,
eaa09ca0-1414-11ef-ac9e-325096b397f4,user13,123456,user13@example.com,Kevin Harris,user,,18980a02-1ddf-11ef-a030-325096b39f47,
